Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Vap Pres (kPa),qc,Air Temp (C),qc,Rel Hum (%),qc,Dew Point (C),qc,Wind Speed (m/s),qc,Wind Dir (0-360),qc,Soil Temp (C),qc
214,Salinas South II,Monterey Bay,5/19/2022,0100,139,0.00, ,0.00, ,0, ,1.2, ,12.7, ,84, ,10.0, ,4.2, ,332, ,18.8, 
214,Salinas South II,Monterey Bay,5/19/2022,0200,139,0.00, ,0.00, ,0, ,1.2, ,12.4, ,85, ,9.9, ,3.7, ,327, ,18.4, 
214,Salinas South II,Monterey Bay,5/19/2022,0300,139,0.00, ,0.00, ,0, ,1.2, ,12.1, ,86, ,9.9, ,2.3, ,349, ,18.1, 
214,Salinas South II,Monterey Bay,5/19/2022,0400,139,0.00, ,0.00, ,0, ,1.2, ,11.8, ,87, ,9.8, ,3.5, ,322, ,17.8, 
214,Salinas South II,Monterey Bay,5/19/2022,0500,139,0.00, ,0.00, ,0, ,1.2, ,11.7, ,88, ,9.8, ,2.2, ,334, ,17.6, 
214,Salinas South II,Monterey Bay,5/19/2022,0600,139,0.01, ,0.00, ,58, ,1.2, ,11.8, ,89, ,9.9, ,1.3, ,298, ,17.3, 
214,Salinas South II,Monterey Bay,5/19/2022,0700,139,0.13, ,0.00, ,234, ,1.3, ,13.4, ,83, ,10.6, ,2.9, ,303, ,17.1, 
214,Salinas South II,Monterey Bay,5/19/2022,0800,139,0.28, ,0.00, ,436, ,1.3, ,15.7, ,74, ,11.0, ,4.2, ,336, ,16.9, 
214,Salinas South II,Monterey Bay,5/19/2022,0900,139,0.45, ,0.00, ,627, ,1.4, ,18.6, ,66, ,12.1, ,5.0, ,343, ,16.9, 
214,Salinas South II,Monterey Bay,5/19/2022,1000,139,0.61, ,0.00, ,789, ,1.4, ,20.4, ,59, ,12.0, ,6.4, ,341, ,17.1, 
214,Salinas South II,Monterey Bay,5/19/2022,1100,139,0.72, ,0.00, ,906, ,1.3, ,21.2, ,52, ,10.9, ,6.8, ,340, ,17.7, 
214,Salinas South II,Monterey Bay,5/19/2022,1200,139,0.80, ,0.00, ,969, ,1.3, ,22.2, ,47, ,10.4, ,6.9, ,341, ,18.4, 
214,Salinas South II,Monterey Bay,5/19/2022,1300,139,0.80, ,0.00, ,978, ,1.2, ,21.1, ,48, ,9.5, ,7.4, ,338, ,19.2, 
214,Salinas South II,Monterey Bay,5/19/2022,1400,139,0.77, ,0.00, ,929, ,1.0, ,20.8, ,42, ,7.4, ,7.5, ,325, ,20.1,Y
214,Salinas South II,Monterey Bay,5/19/2022,1500,139,0.70, ,0.00, ,828, ,0.9, ,20.1, ,40, ,6.0, ,7.6, ,331, ,20.8,Y
214,Salinas South II,Monterey Bay,5/19/2022,1600,139,0.57, ,0.00, ,666, ,1.0, ,19.2, ,44, ,6.8, ,7.9, ,342, ,21.3,Y
214,Salinas South II,Monterey Bay,5/19/2022,1700,139,0.43, ,0.00, ,475, ,1.0, ,18.6, ,45, ,6.5, ,7.2, ,331, ,21.6,Y
214,Salinas South II,Monterey Bay,5/19/2022,1800,139,0.28, ,0.00, ,264, ,0.9, ,17.4, ,47, ,5.9, ,6.5, ,335, ,21.6,Y
214,Salinas South II,Monterey Bay,5/19/2022,1900,139,0.12, ,0.00, ,80, ,0.9, ,15.5, ,50, ,5.2, ,5.8, ,336, ,21.5,Y
214,Salinas South II,Monterey Bay,5/19/2022,2000,139,0.06, ,0.00, ,2, ,0.9, ,13.8, ,55, ,4.9, ,5.3, ,352, ,21.2,Y
214,Salinas South II,Monterey Bay,5/19/2022,2100,139,0.07, ,0.00, ,0, ,0.9, ,13.1, ,57, ,4.8, ,6.9, ,4, ,20.8,Y
214,Salinas South II,Monterey Bay,5/19/2022,2200,139,0.05, ,0.00, ,0, ,0.9, ,11.8, ,64, ,5.3, ,7.0, ,356, ,20.3, 
214,Salinas South II,Monterey Bay,5/19/2022,2300,139,0.04, ,0.00, ,0, ,0.9, ,11.2, ,68, ,5.6, ,6.7, ,1, ,19.8, 
214,Salinas South II,Monterey Bay,5/19/2022,2400,139,0.02, ,0.00, ,0, ,0.9, ,11.1, ,69, ,5.8, ,5.0, ,4, ,19.3, 
214,Salinas South II,Monterey Bay,5/20/2022,0100,140,0.02, ,0.00, ,0, ,0.9, ,11.3, ,69, ,5.7, ,4.5, ,350, ,18.9, 
214,Salinas South II,Monterey Bay,5/20/2022,0200,140,0.02, ,0.00, ,0, ,0.9, ,10.5, ,73, ,5.8, ,4.8, ,353, ,18.5, 
214,Salinas South II,Monterey Bay,5/20/2022,0300,140,0.01, ,0.00, ,0, ,0.9, ,10.5, ,72, ,5.6, ,4.2, ,4, ,18.1, 
214,Salinas South II,Monterey Bay,5/20/2022,0400,140,0.01, ,0.00, ,0, ,0.9, ,9.8, ,76, ,5.7, ,5.2, ,4, ,17.8, 
214,Salinas South II,Monterey Bay,5/20/2022,0500,140,0.00, ,0.00, ,1, ,0.9, ,9.0, ,80, ,5.7, ,4.3, ,2, ,17.5, 
214,Salinas South II,Monterey Bay,5/20/2022,0600,140,0.03, ,0.00, ,58, ,0.9, ,9.2, ,81, ,6.2, ,3.9, ,358, ,17.2, 
214,Salinas South II,Monterey Bay,5/20/2022,0700,140,0.14, ,0.00, ,238, ,1.0, ,10.8, ,76, ,6.7, ,4.2, ,354, ,16.9, 
214,Salinas South II,Monterey Bay,5/20/2022,0800,140,0.27, ,0.00, ,445, ,1.0, ,12.5, ,71, ,7.4, ,4.9, ,347, ,16.7, 
214,Salinas South II,Monterey Bay,5/20/2022,0900,140,0.43, ,0.00, ,640, ,1.0, ,15.2, ,58, ,6.9, ,4.9, ,338, ,16.5, 
214,Salinas South II,Monterey Bay,5/20/2022,1000,140,0.58, ,0.00, ,810, ,0.9, ,17.6, ,44, ,5.3, ,5.0, ,339, ,16.6, 
214,Salinas South II,Monterey Bay,5/20/2022,1100,140,0.72, ,0.00, ,931, ,0.9, ,19.4, ,39, ,5.0, ,5.6, ,333, ,17.0, 
214,Salinas South II,Monterey Bay,5/20/2022,1200,140,0.79, ,0.00, ,995, ,0.9, ,19.7, ,38, ,5.0, ,6.4, ,331, ,17.6, 
214,Salinas South II,Monterey Bay,5/20/2022,1300,140,0.81, ,0.00, ,996, ,0.8, ,19.7, ,35, ,3.7, ,7.0, ,322, ,18.4, 
214,Salinas South II,Monterey Bay,5/20/2022,1400,140,0.78, ,0.00, ,939, ,0.8, ,20.2, ,32, ,2.9, ,6.7, ,318, ,19.1, 
214,Salinas South II,Monterey Bay,5/20/2022,1500,140,0.71, ,0.00, ,833, ,0.7, ,20.3, ,31, ,2.6, ,6.9, ,328, ,19.8, 
214,Salinas South II,Monterey Bay,5/20/2022,1600,140,0.58, ,0.00, ,678, ,0.7, ,19.7, ,32, ,2.7, ,6.7, ,323, ,20.4, 
214,Salinas South II,Monterey Bay,5/20/2022,1700,140,0.45, ,0.00, ,487, ,0.7, ,19.2, ,32, ,2.1, ,6.1, ,320, ,20.7, 
214,Salinas South II,Monterey Bay,5/20/2022,1800,140,0.29, ,0.00, ,280, ,0.7, ,18.5, ,35, ,2.6, ,5.0, ,326, ,20.9, 
214,Salinas South II,Monterey Bay,5/20/2022,1900,140,0.12, ,0.00, ,90, ,0.8, ,17.3, ,39, ,3.4, ,4.4, ,353, ,20.8, 
214,Salinas South II,Monterey Bay,5/20/2022,2000,140,0.05, ,0.00, ,3, ,0.8, ,15.6, ,45, ,3.7, ,3.7, ,7, ,20.6, 
214,Salinas South II,Monterey Bay,5/20/2022,2100,140,0.04, ,0.00, ,0, ,0.8, ,14.8, ,46, ,3.2, ,3.0, ,5, ,20.2, 
214,Salinas South II,Monterey Bay,5/20/2022,2200,140,0.00, ,0.00, ,0, ,0.8, ,12.7, ,55, ,3.8, ,1.2, ,193, ,19.8, 
